#;Name;Price;1h %;24h %;7d %;Market Cap;Volume(24h);Circulating Supply;Last 7 Days
1;BitcoinBTCBuy;$104,686.77;0.32%;0.78%;0.80%;$2.08T$2,080,963,640,273;$39,855,155,407380.95K BTC;19.87MBTC;
2;EthereumETHBuy;$2,506.23;1.03%;1.83%;0.32%;$302.56B$302,555,932,371;$15,915,181,8756.36M ETH;120.72METH;
3;TetherUSDTBuy;$1.00;0.01%;0.06%;0.02%;$155.54B$155,543,030,628;$53,727,655,63953.70B USDT;155.46BUSDT;
4;XRPXRPBuy;$2.12;0.98%;1.02%;2.51%;$125.31B$125,306,521,854;$2,090,153,489982.16M XRP;58.88BXRP;
5;BNBBNBBuy;$643.19;0.47%;1.62%;1.27%;$90.62B$90,617,737,023;$1,343,163,1532.09M BNB;140.88MBNB;
6;SolanaSOLBuy;$143.45;0.98%;2.49%;5.13%;$75.69B$75,689,509,182;$2,613,550,82918.21M SOL;527.62MSOL;
7;USDCUSDCBuy;$0.9999;0.01%;0.02%;0.00%;$61.68B$61,678,130,225;$7,299,757,7677.30B USDC;61.68BUSDC;
8;DogecoinDOGEBuy;$0.1755;0.87%;1.78%;4.56%;$26.27B$26,274,701,865;$856,386,0524.87B DOGE;149.68BDOGE;
9;TRONTRXBuy;$0.2689;0.25%;0.33%;4.61%;$25.5B$25,503,590,605;$386,177,8441.43B TRX;94.83BTRX;
10;CardanoADABuy;$0.6187;1.66%;3.41%;6.87%;$21.88B$21,877,436,637;$449,561,979726.54M ADA;35.35BADA;
11;HyperliquidHYPEBuy;$39.80;1.82%;4.19%;15.27%;$13.29B$13,293,477,664;$268,569,8556.74M HYPE;333.92MHYPE;
12;SuiSUIBuy;$2.84;2.89%;6.55%;11.93%;$9.67B$9,668,134,499;$903,138,172317.29M SUI;3.39BSUI;
13;Bitcoin CashBCHBuy;$426.36;1.31%;1.52%;4.04%;$8.48B$8,477,631,878;$376,330,615882.65K BCH;19.88MBCH;
14;ChainlinkLINKBuy;$12.88;0.98%;4.37%;6.76%;$8.47B$8,466,740,094;$274,149,80921.27M LINK;657.09MLINK;
15;UNUS SED LEOLEOBuy;$9.05;0.21%;0.21%;1.44%;$8.36B$8,360,945,987;$26,937,6412.97M LEO;923.24MLEO;
16;StellarXLMBuy;$0.2549;0.79%;2.20%;4.65%;$7.95B$7,952,883,323;$127,730,611501.09M XLM;31.19BXLM;
17;AvalancheAVAXBuy;$18.85;0.95%;2.64%;9.06%;$7.95B$7,952,745,896;$254,008,57913.54M AVAX;421.83MAVAX;
18;ToncoinTONBuy;$2.92;1.21%;2.67%;8.30%;$7.22B$7,216,168,620;$132,560,24745.54M TON;2.46BTON;
19;Shiba InuSHIBBuy;$0.00001198;0.86%;0.13%;5.79%;$7.06B$7,061,052,323;$122,715,70110.28T SHIB;589.24TSHIB;
20;HederaHBARBuy;$0.1537;2.37%;2.13%;9.48%;$6.49B$6,494,968,740;$98,347,831641.63M HBAR;42.23BHBAR;
21;LitecoinLTCBuy;$84.76;1.14%;0.14%;4.64%;$6.44B$6,439,312,532;$305,542,1683.61M LTC;75.96MLTC;
22;PolkadotDOTBuy;$3.74;0.94%;2.12%;6.82%;$5.95B$5,946,963,334;$151,518,27740.62M DOT;1.58BDOT;
23;Ethena USDeUSDeBuy;$1.00;0.01%;0.00%;0.10%;$5.9B$5,896,049,748;$66,237,57066.21M USDe;5.89BUSDe;
24;MoneroXMRBuy;$310.73;0.46%;0.35%;3.96%;$5.73B$5,732,138,684;$76,872,190247.78K XMR;18.44MXMR;
25;DaiDAIBuy;$0.9999;0.00%;0.01%;0.01%;$5.36B$5,364,894,182;$17,819,606,79017.82B DAI;5.36BDAI;
26;Bitget TokenBGBBuy;$4.52;0.46%;0.18%;2.95%;$5.3B$5,296,817,583;$27,210,8676.02M BGB;1.16BBGB;
27;PepePEPEBuy;$0.00001088;1.13%;0.62%;4.65%;$4.58B$4,577,612,743;$669,497,11061.88T PEPE;420.68TPEPE;
28;PiPIBuy;$0.6078;1.31%;5.95%;2.97%;$4.52B$4,523,545,250;$111,241,781184.09M PI;7.44BPI;
29;UniswapUNIBuy;$7.13;0.89%;5.15%;13.78%;$4.48B$4,483,966,158;$339,854,50147.65M UNI;628.73MUNI;
30;AaveAAVEBuy;$270.60;0.93%;4.33%;5.07%;$4.1B$4,102,258,263;$483,454,9911.79M AAVE;15.15MAAVE;
31;BittensorTAOBuy;$359.47;2.06%;2.70%;4.85%;$3.18B$3,176,209,916;$76,609,595214.45K TAO;8.83MTAO;
32;OKBOKBBuy;$51.43;0.34%;1.04%;1.24%;$3.09B$3,085,930,398;$3,258,60663.38K OKB;60MOKB;
33;Internet ComputerICPBuy;$5.42;1.55%;0.68%;5.91%;$2.9B$2,902,208,979;$92,087,13117.01M ICP;534.56MICP;
34;AptosAPTBuy;$4.44;1.09%;0.21%;5.69%;$2.85B$2,848,007,826;$81,909,60318.50M APT;641.28MAPT;
35;CronosCROBuy;$0.09039;0.82%;0.94%;7.30%;$2.7B$2,702,515,847;$14,354,023159.36M CRO;29.89BCRO;
36;NEAR ProtocolNEARBuy;$2.18;1.26%;2.97%;9.80%;$2.68B$2,676,413,049;$129,193,94759.53M NEAR;1.22BNEAR;
37;Ethereum ClassicETCBuy;$16.57;0.64%;0.62%;3.76%;$2.52B$2,523,984,413;$72,989,5694.41M ETC;152.31METC;
38;OndoONDOBuy;$0.7766;1.23%;1.73%;6.40%;$2.45B$2,453,663,142;$88,046,710114.00M ONDO;3.15BONDO;
39;World Liberty Financial USDUSD1Buy;$1.00;0.01%;0.03%;0.03%;$2.19B$2,190,299,253;$835,451,120834.97M USD1;2.18BUSD1;
40;MantleMNTBuy;$0.6351;0.27%;1.31%;3.43%;$2.14B$2,137,853,184;$160,312,333252.42M MNT;3.36BMNT;
41;GateTokenGTBuy;$16.89;0.50%;0.90%;8.97%;$2.08B$2,076,589,891;$7,353,077435.60K GT;122.91MGT;
42;POL (prev. MATIC)POLBuy;$0.1993;0.33%;2.47%;7.53%;$2.08B$2,081,964,725;$99,877,562503.66M POL;10.44BPOL;
43;OFFICIAL TRUMPTRUMPBuy;$9.96;2.82%;0.16%;3.38%;$1.99B$1,993,768,657;$376,424,68037.93M TRUMP;199.99MTRUMP;
44;KaspaKASBuy;$0.07229;2.85%;7.20%;16.72%;$1.9B$1,902,240,591;$63,516,962887.03M KAS;26.31BKAS;
45;VeChainVETBuy;$0.02186;1.48%;3.43%;9.27%;$1.88B$1,879,803,714;$24,580,1251.12B VET;85.98BVET;
46;SkySKYBuy;$0.08642;0.71%;3.77%;20.20%;$1.84B$1,842,797,430;$8,234,77396.06M SKY;21.32BSKY;
47;EthenaENABuy;$0.2908;1.12%;1.18%;11.50%;$1.77B$1,770,533,579;$128,040,111443.22M ENA;6.08BENA;
48;RenderRENDERBuy;$3.34;1.45%;2.73%;12.96%;$1.73B$1,732,591,731;$52,685,81415.82M RENDER;517.89MRENDER;
49;FilecoinFILBuy;$2.40;0.97%;1.21%;3.76%;$1.62B$1,623,467,563;$111,332,13146.55M FIL;675.9MFIL;
50;ArbitrumARBBuy;$0.3311;1.18%;4.40%;3.78%;$1.61B$1,610,051,601;$151,736,068461.48M ARB;4.86BARB;
51;CosmosATOMBuy;$4.08;0.62%;1.31%;5.09%;$1.6B$1,595,079,567;$73,079,89417.97M ATOM;390.93MATOM;
52;Artificial Superintelligence AllianceFETBuy;$0.6622;1.01%;1.82%;12.95%;$1.59B$1,586,375,503;$87,517,773133.04M FET;2.39BFET;
53;WorldcoinWLDBuy;$0.9687;0.84%;2.18%;12.54%;$1.56B$1,561,777,021;$116,782,429121.49M WLD;1.61BWLD;
54;AlgorandALGOBuy;$0.1761;1.09%;2.35%;7.88%;$1.52B$1,520,018,023;$55,344,041315.46M ALGO;8.62BALGO;
55;First Digital USDFDUSDBuy;$0.9987;0.04%;0.06%;0.01%;$1.51B$1,508,244,145;$4,057,404,0494.06B FDUSD;1.51BFDUSD;
56;KuCoin TokenKCSBuy;$11.18;0.01%;0.62%;0.86%;$1.4B$1,397,756,641;$3,320,999297.15K KCS;125MKCS;
57;SPX6900SPXBuy;$1.36;1.48%;5.12%;24.14%;$1.27B$1,272,373,405;$113,407,97483.42M SPX;930.99MSPX;
58;QuantQNTBuy;$103.09;1.96%;4.19%;10.98%;$1.24B$1,244,648,715;$13,179,823127.69K QNT;12.07MQNT;
59;FlareFLRBuy;$0.01828;0.11%;0.01%;1.96%;$1.23B$1,234,023,809;$6,934,615380.00M FLR;67.49BFLR;
60;CelestiaTIABuy;$1.79;1.02%;0.79%;11.67%;$1.2B$1,204,911,469;$65,450,00036.80M TIA;672.45MTIA;
61;JupiterJUPBuy;$0.4044;1.43%;2.02%;12.24%;$1.19B$1,193,576,269;$27,477,51268.34M JUP;2.95BJUP;
