,#,Name,Price,1h %,24h %,7d %,Market Cap,Volume(24h),Circulating Supply,Last 7 Days
,1,BitcoinBTCBuy,"$97,562.84",0.10%,0.30%,2.36%,"$1.94T$1,938,795,514,878","$28,476,513,943291.68K BTC",19.85MBTC,
,2,EthereumETHBuy,"$1,854.05",0.68%,0.55%,3.03%,"$224.08B$224,075,444,860","$13,889,530,0287.48M ETH",120.73METH,
,3,TetherUSDTBuy,$1.00,0.01%,0.00%,0.02%,"$148.97B$148,970,007,220","$56,697,685,90356.67B USDT",148.9BUSDT,
,4,XRPXRPBuy,$2.23,0.43%,0.92%,1.28%,"$130.51B$130,513,972,651","$2,155,259,160966.10M XRP",58.5BXRP,
,5,BNBBNBBuy,$601.28,0.22%,0.43%,0.68%,"$84.71B$84,714,335,223","$1,457,172,2992.42M BNB",140.88MBNB,
,6,SolanaSOLBuy,$150.83,0.40%,1.18%,1.10%,"$78.13B$78,127,128,300","$3,081,945,34820.43M SOL",517.95MSOL,
,7,USDCUSDCBuy,$0.9999,0.01%,0.01%,0.01%,"$61.4B$61,398,470,383","$9,030,438,6499.03B USDC",61.39BUSDC,
,8,DogecoinDOGEBuy,$0.1831,0.93%,0.31%,0.28%,"$27.31B$27,310,411,602","$1,062,714,2935.80B DOGE",149.09BDOGE,
,9,CardanoADABuy,$0.7103,0.31%,0.16%,1.74%,"$25.08B$25,076,887,666","$659,063,333927.81M ADA",35.3BADA,
,10,TRONTRXBuy,$0.2472,0.24%,0.12%,1.47%,"$23.47B$23,470,680,505","$428,121,9501.73B TRX",94.92BTRX,
,1,BitcoinBTCBuy,"$97,562.84",0.10%,0.30%,2.36%,"$1.94T$1,938,795,514,878","$28,476,513,943291.68K BTC",19.85MBTC,
,2,EthereumETHBuy,"$1,853.50",0.75%,0.43%,3.01%,"$223.78B$223,779,187,673","$13,126,529,9927.07M ETH",120.73METH,
,3,TetherUSDTBuy,$1.00,0.01%,0.00%,0.02%,"$148.97B$148,970,007,220","$56,697,685,90356.67B USDT",148.9BUSDT,
,4,XRPXRPBuy,$2.23,0.43%,0.92%,1.28%,"$130.51B$130,513,972,651","$2,155,259,160966.10M XRP",58.5BXRP,
,5,BNBBNBBuy,$601.28,0.22%,0.43%,0.68%,"$84.71B$84,714,335,223","$1,457,172,2992.42M BNB",140.88MBNB,
,6,SolanaSOLBuy,$150.83,0.40%,1.18%,1.10%,"$78.13B$78,127,128,300","$3,081,945,34820.43M SOL",517.95MSOL,
,7,USDCUSDCBuy,$0.9999,0.01%,0.01%,0.00%,"$61.39B$61,394,232,038","$9,030,438,6499.03B USDC",61.39BUSDC,
,8,DogecoinDOGEBuy,$0.1831,0.93%,0.31%,0.28%,"$27.31B$27,310,411,602","$1,062,714,2935.80B DOGE",149.09BDOGE,
,9,CardanoADABuy,$0.7103,0.31%,0.16%,1.74%,"$25.08B$25,076,887,666","$659,063,333927.81M ADA",35.3BADA,
,10,TRONTRXBuy,$0.2472,0.24%,0.06%,1.42%,"$23.47B$23,469,996,973","$428,121,9501.73B TRX",94.92BTRX,
,1,BitcoinBTCBuy,"$97,562.84",0.10%,0.30%,2.36%,"$1.94T$1,938,795,514,878","$28,476,513,943291.68K BTC",19.85MBTC,
